App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
WomanLog Calendar,HEALTH_AND_FITNESS,3.5,121838,15M,"5,000,000+",Free,0,Eighteen_Plus,Health & Fitness,23-May-18,5.5.1,4.0.3 and up,1
K PLUS,FINANCE,3.2,124324,Varies with device,"10,000,000+",Free,0,Eighteen_Plus,Finance,26-Jun-18,4.6.0,4.2 and up,2
K PLUS,FINANCE,3.2,124424,Varies with device,"10,000,000+",Free,0,Eighteen_Plus,Finance,26-Jun-18,4.6.0,4.2 and up,3
Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11M,"10,000,000+",Free,0,Everyone,Health & Fitness,31-Jul-18,1.0.14,4.0 and up,4
Family Guy- Another Freakin' Mobile Game,FAMILY,3.7,221691,94M,"5,000,000+",Free,0,Teen,Puzzle,06-Aug-18,1.20.22,4.0.3 and up,5
SofaScore Live Score,SPORTS,4.8,221722,Varies with device,"10,000,000+",Free,0,Everyone,Sports,26-Jul-18,Varies with device,Varies with device,6
Camera360 Lite - Selfie Camera,PHOTOGRAPHY,3.5,221858,Varies with device,"10,000,000+",Free,0,Everyone,Photography,01-Aug-18,Varies with device,4.1 and up,7
Camera360 Lite - Selfie Camera,PHOTOGRAPHY,3.5,221878,Varies with device,"10,000,000+",Free,0,Everyone,Photography,01-Aug-18,Varies with device,4.1 and up,8
Lie Detector Test Prank,FAMILY,3.8,222308,6.9M,"10,000,000+",Free,0,Everyone,Entertainment,31-Jul-18,3.0.2,4.4 and up,9
Bejeweled Blitz,FAMILY,4.2,222664,98M,"10,000,000+",Free,0,Everyone,Puzzle,01-Aug-18,2.6.0.125,4.0.3 and up,10
Once - Quality Matches Every day,DATING,3.8,222888,21M,"1,000,000+",Free,0,Mature,Dating,17-Jul-18,2.45,4.1 and up,11
Once - Quality Matches Every day,DATING,3.3,222888,21M,"1,000,000+",Free,0,Mature,Dating,17-Jul-18,2.45,4.1 and up,12
A+ Gallery - Photos & Videos,PHOTOGRAPHY,3.9,223941,Varies with device,"10,000,000+",Free,0,Everyone,Photography,06-Aug-18,Varies with device,Varies with device,13
ibis Paint X,ART_AND_DESIGN,4.6,224399,31M,"10,000,000+",Free,0,Everyone,Art & Design,30-Jul-18,5.5.4,4.1 and up,14
War and Order,GAME,4.3,224514,81M,"5,000,000+",Free,0,Teen,Strategy,18-Jul-18,1.1.8,4.0.3 and up,15
"Hide Something - Photo, Video",SOCIAL,4.6,225103,5.3M,"5,000,000+",Free,0,Everyone,Social,13-Jun-18,5.1.1,4.1 and up,16
photo keypad lockscreen,TOOLS,2.3,225544,8.1M,"10,000,000+",Free,0,Everyone,Tools,17-Jul-18,3.1.2,4.0 and up,17
Notepad & To do list,PRODUCTIVITY,4.3,226295,4.2M,"10,000,000+",Free,0,Everyone,Productivity,06-Jun-18,4.3.19,2.3.3 and up,18
