Category,Type,Reviews,Reviews-2,Reviews-3
ART_AND_DESIGN,Free,224399,224399,224399
ART_AND_DESIGN,Free,295221,295221,295221
ART_AND_DESIGN,Free,295237,295237,295237
AUTO_AND_VEHICLES,Free,271920,271920,271920
BOOKS_AND_REFERENCE,Free,233757,233757,233757
BOOKS_AND_REFERENCE,Free,246315,246315,246315
BOOKS_AND_REFERENCE,Free,264260,264260,264260
BOOKS_AND_REFERENCE,Free,341157,341157,341157
BOOKS_AND_REFERENCE,Free,341234,341234,341234
BOOKS_AND_REFERENCE,Free,361780,361780,361780
BOOKS_AND_REFERENCE,Free,363934,363934,363934
BOOKS_AND_REFERENCE,Free,364452,364452,364452
BOOKS_AND_REFERENCE,Free,384368,384368,384368
BOOKS_AND_REFERENCE,Free,445756,445756,445756
BOOKS_AND_REFERENCE,Free,454060,454060,454060
BOOKS_AND_REFERENCE,Free,454412,454412,454412
BOOKS_AND_REFERENCE,Free,497826,497826,497826
BOOKS_AND_REFERENCE,Free,568922,568922,568922
BOOKS_AND_REFERENCE,Free,577550,577550,577550
BOOKS_AND_REFERENCE,Free,814080,814080,814080
BOOKS_AND_REFERENCE,Free,814151,814151,814151
BOOKS_AND_REFERENCE,Free,899010,899010,899010
BOOKS_AND_REFERENCE,Free,922752,922752,922752
BOOKS_AND_REFERENCE,Free,1433233,1433233,1433233
BOOKS_AND_REFERENCE,Free,2440695,2440695,2440695
BOOKS_AND_REFERENCE,Free,2914724,2914724,2914724
BOOKS_AND_REFERENCE,Free,2915189,2915189,2915189
BUSINESS,Free,286897,286897,286897
BUSINESS,Free,286897,286897,286897
BUSINESS,Free,380837,380837,380837
BUSINESS,Free,674730,674730,674730
BUSINESS,Free,758590,758590,758590
BUSINESS,Free,984451,984451,984451
BUSINESS,Free,1002859,1002859,1002859
BUSINESS,Free,1002861,1002861,1002861
BUSINESS,Free,1254730,1254730,1254730
BUSINESS,Free,1279184,1279184,1279184
BUSINESS,Free,1279800,1279800,1279800
COMICS,Free,238970,238970,238970
COMICS,Free,564387,564387,564387
COMICS,Free,1013635,1013635,1013635
COMICS,Free,1013944,1013944,1013944
COMMUNICATION,Free,226541,226541,226541
COMMUNICATION,Free,230564,230564,230564
COMMUNICATION,Free,237468,237468,237468
COMMUNICATION,Free,244863,244863,244863
COMMUNICATION,Free,244863,244863,244863
COMMUNICATION,Free,258556,258556,258556
COMMUNICATION,Free,298041,298041,298041
COMMUNICATION,Free,305218,305218,305218
COMMUNICATION,Free,305347,305347,305347
COMMUNICATION,Free,330761,330761,330761
COMMUNICATION,Free,335646,335646,335646
COMMUNICATION,Free,346980,346980,346980
COMMUNICATION,Free,346982,346982,346982
COMMUNICATION,Free,347086,347086,347086
COMMUNICATION,Free,349384,349384,349384
COMMUNICATION,Free,350154,350154,350154
COMMUNICATION,Free,350154,350154,350154
COMMUNICATION,Free,401530,401530,401530
COMMUNICATION,Free,437674,437674,437674
COMMUNICATION,Free,457283,457283,457283
COMMUNICATION,Free,483565,483565,483565
COMMUNICATION,Free,483782,483782,483782
COMMUNICATION,Free,541389,541389,541389
COMMUNICATION,Free,541389,541389,541389
COMMUNICATION,Free,541661,541661,541661
COMMUNICATION,Free,552441,552441,552441
COMMUNICATION,Free,552635,552635,552635
COMMUNICATION,Free,594720,594720,594720
COMMUNICATION,Free,594728,594728,594728
COMMUNICATION,Free,594728,594728,594728
COMMUNICATION,Free,615381,615381,615381
COMMUNICATION,Free,659395,659395,659395
COMMUNICATION,Free,659395,659395,659395
COMMUNICATION,Free,697939,697939,697939
COMMUNICATION,Free,781810,781810,781810
COMMUNICATION,Free,781810,781810,781810
COMMUNICATION,Free,837842,837842,837842
COMMUNICATION,Free,1042170,1042170,1042170
COMMUNICATION,Free,1092337,1092337,1092337
COMMUNICATION,Free,1130966,1130966,1130966
COMMUNICATION,Free,1133501,1133501,1133501
COMMUNICATION,Free,1133539,1133539,1133539
COMMUNICATION,Free,1429035,1429035,1429035
COMMUNICATION,Free,1429038,1429038,1429038
COMMUNICATION,Free,2083237,2083237,2083237
COMMUNICATION,Free,2083237,2083237,2083237
COMMUNICATION,Free,2264916,2264916,2264916
COMMUNICATION,Free,2265084,2265084,2265084
COMMUNICATION,Free,2451083,2451083,2451083
COMMUNICATION,Free,2451093,2451093,2451093
COMMUNICATION,Free,2451136,2451136,2451136
COMMUNICATION,Free,2473509,2473509,2473509
COMMUNICATION,Free,2473693,2473693,2473693
COMMUNICATION,Free,2473795,2473795,2473795
COMMUNICATION,Free,2511130,2511130,2511130
COMMUNICATION,Free,2546527,2546527,2546527
COMMUNICATION,Free,2546527,2546527,2546527
COMMUNICATION,Free,2546549,2546549,2546549
